date,totalCount,sarCount,chinaCount
17 March 2003,167,95,0
18 March 2003,219,123,0
19 March 2003,264,150,0
20 March 2003,306,173,0
21 March 2003,350,203,0
22 March 2003,386,222,0
24 March 2003,456,260,0
25 March 2003,487,286,0
26 March 2003,1323,316,792
27 March 2003,1408,367,806
28 March 2003,1485,425,806
29 March 2003,1550,470,806
31 March 2003,1622,530,806
1 April 2003,1804,685,806
2 April 2003,2223,721,1190
3 April 2003,2270,748,1190
4 April 2003,2353,776,1220
5 April 2003,2416,817,1220
7 April 2003,2601,904,1268
8 April 2003,2671,947,1279
9 April 2003,2722,970,1280
10 April 2003,2781,1017,1290
11 April 2003,2890,1080,1309
12 April 2003,2960,1131,1309
14 April 2003,3169,1213,1418
15 April 2003,3235,1255,1418
16 April 2003,3293,1285,1432
17 April 2003,3389,1324,1457
18 April 2003,3547,1387,1512
19 April 2003,3547,1387,1512
21 April 2003,3861,1432,1959
22 April 2003,3947,1463,2001
23 April 2003,4288,1495,2305
24 April 2003,4439,1525,2422
25 April 2003,4649,1551,2601
26 April 2003,4836,1576,2753
28 April 2003,5050,1623,2914
29 April 2003,5462,1638,3303
30 April 2003,5663,1668,3460
1 May 2003,5865,1690,3638
2 May 2003,6054,1712,3799
3 May 2003,6234,1722,3971
5 May 2003,6583,1754,4280
6 May 2003,6727,1763,4409
7 May 2003,6903,1780,4560
8 May 2003,7053,1793,4698
9 May 2003,7183,1817,4805
10 May 2003,7296,1847,4884
12 May 2003,7447,1868,5013
13 May 2003,7548,1897,5086
14 May 2003,7628,1937,5124
15 May 2003,7699,1968,5163
16 May 2003,7739,1981,5191
17 May 2003,7761,1985,5209
19 May 2003,7864,,
20 May 2003,7919,,
21 May 2003,7956,,
22 May 2003,8046,,
23 May 2003,8117,,
24 May 2003,8141,,
26 May 2003,8202,,
27 May 2003,8221,,
28 May 2003,8240,,
29 May 2003,8295,,
30 May 2003,8317,,
31 May 2003,8360,,
2 June 2003,8384,,
3 June 2003,8398,,
4 June 2003,8402,,
5 June 2003,8403,,
6 June 2003,8404,,
9 June 2003,8421,,
10 June 2003,8430,,
11 June 2003,8435,,
12 June 2003,8445,,
13 June 2003,8454,,
16 June 2003,8460,,
17 June 2003,8464,,
18 June 2003,8465,,
19 June 2003,8462,,
20 June 2003,8461,,
23 June 2003,8459,,
24 June 2003,8458,,
25 June 2003,8460,,
26 June 2003,8456,,
27 June 2003,8450,,
30 June 2003,8447,,
1 July 2003,8445,,
2 July 2003,8442,,
3 July 2003,8439,,
4 July 2003,8439,,
7 July 2003,8439,,
8 July 2003,8436,,
9 July 2003,8436,,
10 July 2003,8437,,
11 July 2003,8437,,
